SEM,Ordem Venda,Item,OF Embalagem,Código Material,Descrição Material,Acab.,QTD,Total,CT,SERRA/LAM,,TOTAL,OF Lixadora,,TOTAL,BLOCO,,QTD BL.,ESTADO,OBSERVAÇÕES,Cliente
9,3820007358,10,1600036571,70002292,"PL CC 8122/000 940X640X95,0 02",0,7,0,CNMSERPL,1600036572,0.16,0,,,0,70005855,BL CC 8122/ORT 950x650X200 NE,3.7,,,LA CHANCE
9,3820007074,40,1600033630,70004384,"PL CC 8004/000 915X610X3,1 01",0,1 200,0,CNMLAMPL,1600033631,1.94,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,15.5,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3820007240,30,1600036352,70002169,"PL CC 8004/S11 915X610X5,0 01",S11,360,0,,,,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,7.7,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007237,20,1600036298,70023118,"PL CC 8405/S21 940X640X75,0 3D",S21,320,0,CNMSERPL,1600036340,5.82,0,,,0,70005847,BL CC 8405/ORT 940X640X250 NE,107.9,,,"3DC - INTELLIGENT NATURE, LDA"
9,3820006954,30,1600032622,70022989,"PL CC 8003/000 915X610X25,0 08",0,360,0,CNMLAMPL,1600032623,2.14,0,,,0,70005497,BL CC 8003/ORT 915X610X250 NE,37.2,,,"PORTOCORK INTERNACIONAL, SA"
9,3820007496,80,1600038000,70001994,"PL CC 8057/PTH 1000X500X10,0 AD",PTH,32,0,CNMLAMPL,1600038001,0.1,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.6,,,GÖTZ SERVICE GMBH
9,3820007243,50,1600036542,70010369,PL CC 8872/000 940X640X245 CV,0,80,0,CNMLAMPL,1600036543,4,0,,,0,70003937,BL CC 8872/000 940X640X250 NE,80,,,"CORTICEIRA VIKING, IMP.EXP. LDA"
9,3820007243,40,1600036540,70005284,BL CC 8872/000 940X640X195 01,0,80,0,CNMSERPL,1600036541,1.33,0,,,0,70005853,BL CC 8872/ORT 940X640X250 NE,80,,,"CORTICEIRA VIKING, IMP.EXP. LDA"
9,3823000199,30,1600037589,70004333,"PL CC 8403/000 915X610X11,7 00",0,600,0,CNMLAMPL,1600037590,1.63,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,28.9,,,"AMORIM CORK COMPOSITES, INC"
9,3820007488,60,1600037988,70010971,"PL CC 8403/XXX  915X610X12,7 01",XXX,600,0,CNMLAMPL,1600037989,2.67,0,,,0,70012041,BL CC 8403/ORT  940X640X250 NE,31.9,,,"WE CORK, INC."
9,3820007406,20,1600036879,70000189,"PL CC 8827/S21 940X640X5,0 02",S21,180,0,,,,0,,,0,70005852,BL CC 8827/ORT 940X640X250 NE,4,,,COTTEL. COM
9,3820007862,40,1600042100,70002761,"PL CC 8004/S11 940X640X8,0 01",S11,144,0,,,,0,,,0,70005850,BL CC 8004/ORT 940X640X250 NE,4.9,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007116,30,1600034480,70011497,"PL CC 8004/E01 1000X500X6,0 01",E01,1 800,0,CNMLAMPL,1600034481,4.1,0,,,0,70005522,BL CC 8004/ORT 1000X500X210 NE,56.2,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820006951,60,1600032155,70003455,"PL CC 8004/000 940X640X4,4 CB",0,1 020,0,CNMLAMPL,1600032156,1.77,0,,,0,70001620,BL CC 8004/000 940X640X250 NE,18.8,,,"PORTOCORK INTERNACIONAL, SA"
9,3823000198,40,1600038921,70005915,"PL CI 5608/000 915X610X5,8 99",0,300,0,CNMLAMPL,1600038922,0.68,0,,,0,70005517,BL CI 5608/ORT 915X610X250 NE,7.2,,,"AMORIM CORK COMPOSITES, INC"
